Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,47nF 50V,
"C10, C6, C7, C8",0402,4,100nF 50V,
C12,CP_Radial_D8.0mm_P3.50mm,1,100uF,
"C2, C3, C9",0402,3,1uF 50V,
"C4, C5",0402,2,30pF,
D1,0603,1,KT-0603R,
D2,D_SOD-123,1,SS34,
IC1,QFN50P500X700X100-41N-D,1,MCF8316A1VRGFR,
IC2,SOIC127P600X175-8N,1,TJA1050T_CM,
IC3,LSM6DS3USTR,1,LSM6DS3TR-C,
"J1, J2, J5, J6",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,4,SM04B-SRSS-TB,
J3,AMASS_MR30PW-FB_1x03_P3.50mm_Horizontal,1,Conn_01x03_Pin,
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
LED1,WS2812C2020,1,WS2812C-2020,
"Q1, Q2",SOT-23,2,BSS138,
R1,0402,1,22k,
"R10, R13, R14, R15, R7, R8, R9",0402,7,10k,
R11,0402,1,4.7k,
R12,0402,1,2.2k,
R16,0402,1,1.5k,
R17,0402,1,120,
R3,0402,1,10k 1%,
SW1,SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin,1,DSHP04TJGER,
U1,ESP32-C3 16 Pin Super Mini,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
