Designator,Footprint,Quantity,Value,LCSC Part #
"C4, C5",0402,2,30pF,
"C6, C7, C8",0402,3,100nF 50V,
D1,0603,1,KT-0603R,
D2,D_SOD-123,1,SS34,
IC2,SOIC127P600X175-8N,1,TJA1050T_CM,
IC3,LSM6DS3USTR,1,LSM6DS3TR-C,
"J1, J2, J5, J6",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,4,SM04B-SRSS-TB,
J10,PinHeader_2x01_P2.54mm_Vertical,1,Conn_01x02_Pin,
J11,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"J12, J13, J14, J15",JST_EH_B02B-EH-A_02x2.50mm_Straight,4,Conn_01x02_Pin,
"J3, J4, J7, J9",TS026660BK160LCRD,4,TS02-66-60-BK-160-LCR-D,
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
LED1,WS2812C2020,1,WS2812C-2020,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R2",0402,2,22k,
"R10, R13, R14, R15, R18, R4, R7, R8, R9",0402,9,10k,
"R11, R5",0402,2,4.7k,
"R12, R6",0402,2,2.2k,
R16,0402,1,1.5k,
R17,0402,1,120,
R3,0402,1,10k 1%,
SW1,SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin,1,DSHP04TJGER,
U1,ESP32-C3 16 Pin Super Mini,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
U2,MODULE_DM-OLED096-636,1,DM-OLED096-636,
