Designator,Mid X,Mid Y,Rotation,Layer
C4,84.4042,-81.2292,270.0,top
C5,85.0392,-85.151,270.0,top
C6,95.6056,-84.0638,270.0,top
C7,94.8436,-96.1644,90.0,top
C8,102.616,-96.7232,0.0,top
D1,80.7974,-69.9008,270.0,top
D2,105.029,-76.8604,90.0,top
IC2,90.7796,-84.4448,180.0,top
IC3,99.0266,-97.4574,0.0,top
J1,80.4738,-89.378,270.0,top
J10,103.4542,-65.9892,180.0,top
J11,90.0176,-66.5226,270.0,top
J12,103.1748,-58.6794,90.0,top
J13,95.8257,-58.6794,90.0,top
J14,88.4767,-58.6794,90.0,top
J15,81.1276,-58.6794,90.0,top
J2,80.4738,-81.25,270.0,top
J3,81.3668,-58.7998,90.0,top
J4,88.6312,-58.7998,90.0,top
J5,81.3502,-97.3882,0.0,top
J6,89.7696,-97.3882,0.0,top
J7,95.8956,-58.8022,90.0,top
J9,103.16,-58.7768,90.0,top
LED1,98.907,-86.826,180.0,top
Q1,90.5162,-90.617,0.0,top
Q2,86.63,-90.6322,180.0,top
R1,103.759,-91.186,90.0,top
R10,94.9706,-90.0644,90.0,top
R11,103.759,-93.6518,90.0,top
R12,94.9706,-92.6064,90.0,top
R13,103.759,-88.771,270.0,top
R14,89.0798,-93.3196,0.0,top
R15,102.5906,-95.5294,180.0,top
R16,79.2226,-65.2272,270.0,top
R17,78.105,-72.7456,90.0,top
R18,83.566,-64.4144,0.0,top
R2,85.9282,-64.4144,180.0,top
R3,94.2594,-99.1616,90.0,top
R4,88.9,-64.4144,180.0,top
R5,91.0844,-64.4144,180.0,top
R6,93.1672,-64.4144,180.0,top
R7,89.8144,-88.138,180.0,top
R8,86.5866,-88.1634,180.0,top
R9,85.092,-93.2434,180.0,top
SW1,99.5426,-91.44,0.0,top
U2,90.302,-74.8618,0.0,top
