Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C6, C7, C8, C9",0402,7,100nF 50V,
"C10, C12, C2, C3",0402,4,1uF 50V,
"C4, C5",0402,2,30pF,
D1,0603,1,KT-0603R,
D2,D_SOD-123,1,SS34,
"DR1, DR2, DR3, DR4",SOP-8_3.76x4.96mm_P1.27mm,4,COS4427SR,
IC2,SOIC127P600X175-8N,1,TJA1050T_CM,
IC3,LSM6DS3USTR,1,LSM6DS3TR-C,
"J1, J2, J5, J6",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,4,SM04B-SRSS-TB,
"J3, J9",TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,2,Conn_01x04_Pin,
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
LED1,WS2812C2020,1,WS2812C-2020,
"Q1, Q2",SOT-23,2,BSS138,
"Q10, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23-3,8,DO3012AA,
R1,0402,1,22k,
"R10, R13, R14, R15, R7, R8, R9",0402,7,10k,
R11,0402,1,4.7k,
R12,0402,1,2.2k,
R16,0402,1,1.5k,
R17,0402,1,120,
"R18, R20, R22, R23, R24, R25, R4, R5",0603,8,10,
"R19, R2, R21, R26, R27, R28, R29, R6",0402,8,100k,
R3,0402,1,10k 1%,
SW1,SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin,1,DSHP04TJGER,
U1,ESP32-C3 16 Pin Super Mini,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
