Designator,Footprint,Quantity,Value,LCSC Part #
C1_3,0402,1,22nF 50V,
C1_2,0402,1,47nF 50V,
"C10_2, C10, C2_2, C3, C6_4, C6_3, C6_2, C7_4, C7_3, C7_2, C8_4, C8_3, C8_2, C9_2",0402,14,100nF 50V,
"C2_3, C3_2, C9",0402,3,1uF 50V,
"C2, C6, C7, C8",0402,4,100nF,
C3_3,0402,1,10nF,
"C4_4, C4_3, C4_2, C4, C5_4, C5_3, C5_2, C5",0402,8,30pF,
"D1_4, D1_3, D1_2, D1",0603,4,KT-0603R,
"D2_4, D2_3, D2_2, D2",D_SOD-123,4,SS34,
DZ1,D_SOD-123,1,MM1Z3V3,
IC1_2,QFN50P500X700X100-41N-D,1,MCF8316A1VRGFR,
IC1,SOIC127P600X175-16N,1,VNH7100BASTR,
"IC2_4, IC2_3, IC2_2, IC2",SOIC127P600X175-8N,4,TJA1050T_CM,
"IC3_4, IC3_3, IC3_2, IC3",LSM6DS3USTR,4,LSM6DS3TR-C,
IC4,QFN50P500X500X90-29N,1,TMC2209-LA,
"J1_4, J1_3, J1_2, J1, J2_4, J2_3, J2_2, J2, J5_4, J5_3, J5_2, J5, J6_4, J6_3, J6_2, J6",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,16,SM04B-SRSS-TB,
"MOUSE-BITE-2MM-SLOT_6, MOUSE-BITE-2MM-SLOT_5, MOUSE-BITE-2MM-SLOT_4, MOUSE-BITE-2MM-SLOT_3, MOUSE-BITE-2MM-SLOT_2, MOUSE-BITE-2MM-SLOT",mouse-bite-2mm-slot,6,VAL**,
"Q1_4, Q1_3, Q1_2, Q1, Q2_4, Q2_3, Q2_2, Q2",SOT-23,8,BSS138,
"R1_4, R1_3, R1_2, R1, R2_2",0402,5,22k,
"R10_4, R10_3, R10_2, R10, R13_4, R13_3, R13_2, R13, R14_4, R14_3, R14_2, R14, R15_4, R15_3, R15_2, R15, R18, R3_3, R4_2, R7_4, R7_3, R7_2, R7, R8_4, R8_3, R8_2, R8, R9_4, R9_3, R9_2, R9",0402,31,10k,
"R11_4, R11_3, R11_2, R11, R5",0402,5,4.7k,
"R12_4, R12_3, R12_2, R12, R6_2",0402,5,2.2k,
"R16_4, R16_3, R16_2, R16",0402,4,1.5k,
"R17_4, R17_3, R17_2, R17",0402,4,120,
"R18_2, R3_4, R3",0402,3,10k 1%,
R2_3,0402,1,1k,
"R2, R3_2, R4, R5_2",0402,4,1.1k,
R6,1206,1,2.2k,
"SW1_4, SW1_3, SW1_2, SW1",SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin,4,DSHP04TJGER,
U1_4,ESP32-C3 16 Pin Super Mini,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
