Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Manufacturer_Name,Mouser Part Number,Mouser Price/Stock,Arrow Part Number,Arrow Price/Stock
C10,1,47nF 50V,C_0402_1005Metric,,,,smt,Unpolarized capacitor,,,,,,
"C11, C13, C16, C19, C23, C25, C9",7,1uF 50V,C_0402_1005Metric,,,,smt,Unpolarized capacitor,,,,,,
"C12, C18, C22, C34, C35, C41, C44, C49, C50, C7",10,30pF,C_0402_1005Metric,,,,smt,Unpolarized capacitor,,,,,,
"C15, C17, C20, C21, C24, C26, C29, C30, C31, C32, C33, C36, C39, C40, C42, C43, C45, C46, C47, C48, C51, C52, C53, C54, C55, C56, C8",27,100nF 50V,C_0402_1005Metric,,,,smt,Unpolarized capacitor,,,,,,
C38,1,22nF 50V,C_0402_1005Metric,,,,smt,Unpolarized capacitor,,,,,,
"D10, D11, D12, D13, D5, D6",6,SS34,D_SOD-123,,,,smt,"[D13,D5,D6]20V 3A Schottky Barrier Rectifier Diode, DO-201AD; [D12]40V 3A Schottky Barrier Rectifier Diode, DO-201AD",,,,,,
"D2, D3, D7, D8, D9",5,KT-0603R,LED_0603_1608Metric,,,,smt,Light emitting diode,,,,,,
"DR1, DR2, DR3, DR4",4,COS4427SR,SOP-8_3.76x4.96mm_P1.27mm,,,,smt,,,,,,,
IC10,1,TMC2209-LA,QFN50P500X500X90-29N,,TMC2209-LA,,smt,"Silent stepper motor driver 5 to 36V, up to 1.4A with S/D and UART Interface, 256 Steps, SpreadCycle and Stealthchop2",0.9,Analog Devices,700-TMC2209-LA,https://www.mouser.co.uk/ProductDetail/ADI-Trinamic/TMC2209-LA?qs=TiOZkKH1s2QqRRreEQH08w%3D%3D,TMC2209-LA,https://www.arrow.com/en/products/tmc2209-la/analog-devices?utm_currency=USD&region=nac
"IC11, IC14, IC4, IC5, IC9",5,TJA1050T_CM,SOIC127P600X175-8N,,TJA1050T/CM,,smt,IC: interface; transceiver; 1Mbps; 4.755.25VDC; SO8; No.of rec: 1,1.75,NXP,N/A,https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/TJA1050T-CM?qs=fAHHVMwC%252BbibiWs27gP5ng%3D%3D,,
