Designator,Mid X,Mid Y,Rotation,Layer
C1_2,102.607512,-99.2378,180.0,top
C1,36.6776,-55.8394,270.0,top
C10,67.900137,-51.9176,270.0,top
C11,78.684337,-47.9698,0.0,top
C12,73.754137,-40.426,180.0,top
C13,68.535137,-55.8394,270.0,top
C14,71.202137,-46.2,90.0,top
C16,101.621482,-40.408506,180.0,top
C17,107.243482,-40.408506,180.0,top
C18,103.597482,-40.408506,0.0,top
C19,109.247482,-40.408506,0.0,top
C2_2,107.228512,-104.0612,270.0,top
C20,107.821182,-52.679006,270.0,top
C21,107.821182,-50.845006,90.0,top
C22,108.197482,-56.921006,0.0,top
C23,98.799482,-55.905006,0.0,top
C24,99.639082,-60.759006,270.0,top
C25,120.135482,-56.723006,270.0,top
C26,120.135482,-54.663006,90.0,top
C27,54.1274,-67.3354,180.0,top
C28,46.482,-66.8528,90.0,top
C29,86.111937,-67.4116,0.0,top
C3_2,110.301912,-109.5756,180.0,top
C3,36.7792,-51.5366,270.0,top
C30,71.583378,-88.341095,0.0,top
C31,78.339537,-66.8528,90.0,top
C32,110.204082,-67.081006,90.0,top
C33,117.976482,-67.411206,0.0,top
C34,36.0426,-100.087965,270.0,top
C35,36.6776,-104.009765,270.0,top
C36,47.244,-102.922565,270.0,top
C37,68.532778,-104.023095,270.0,top
C38,73.079378,-92.890295,270.0,top
C39,68.100978,-99.771095,270.0,top
C4_2,99.760912,-99.2912,270.0,top
C4,38.1508,-47.5716,270.0,top
C40,73.079378,-94.764695,270.0,top
C42,79.099178,-102.935895,270.0,top
C43,81.133778,-95.097495,0.0,top
C44,81.156578,-89.966695,180.0,top
C45,46.482,-115.023165,90.0,top
C46,54.2544,-115.581965,0.0,top
C47,78.337178,-115.036495,90.0,top
C48,86.109578,-115.595295,0.0,top
C5_2,99.633912,-107.5156,270.0,top
C5,56.388,-49.403,0.0,top
C6_2,107.228512,-102.108,90.0,top
C6,47.244,-54.9174,270.0,top
C7_2,110.708312,-115.7224,90.0,top
C7,79.101537,-54.7522,270.0,top
C8_2,117.998112,-115.5954,0.0,top
C8,76.675137,-47.9444,0.0,top
C9,74.541537,-47.8682,0.0,top
D1_2,94.249212,-81.4832,0.0,top
D1,30.5055,-33.2994,0.0,top
D10,73.638178,-98.501095,180.0,top
D2_2,96.281112,-90.0176,90.0,top
D2,62.363037,-33.2994,0.0,top
D3_2,98.617912,-90.0176,90.0,top
D3,94.227582,-33.299006,0.0,top
D4_2,108.941512,-108.3564,0.0,top
D4,41.4284,-51.2064,180.0,top
D5_2,108.904912,-106.8832,180.0,top
D5,97.021482,-42.189006,90.0,top
D6,89.083737,-54.3042,270.0,top
D7,32.4358,-88.759565,270.0,top
D8,62.360678,-81.483095,0.0,top
D9,56.6674,-95.719165,90.0,top
DR1,103.371482,-51.333006,270.0,top
DR2,107.435482,-44.729006,0.0,top
DR3,101.881482,-44.726506,0.0,top
DR4,115.824882,-55.613706,270.0,top
DZ1,53.8216,-51.9176,180.0,top
IC1_2,103.706312,-92.8826,180.0,top
IC1,42.9064,-44.4754,0.0,top
IC10,74.273178,-103.316895,180.0,top
IC11,76.964178,-92.720695,0.0,top
IC12,50.665,-116.316165,0.0,top
IC13,82.520178,-116.329495,0.0,top
IC2_2,103.006312,-103.2256,180.0,top
IC2,42.418,-55.1332,180.0,top
IC3_2,114.408712,-116.3296,0.0,top
IC3,75.938537,-44.0582,90.0,top
IC4_2,110.479712,-102.3816,270.0,top
IC4,74.275537,-55.1332,180.0,top
